id 攻擊力 HP   冷卻時間  消耗金幣
1  100    250  2         100
2  50     300  2         150
3  150    250  4         300
4  150    150  4         300
5  150    150  4         300
6  100    500  2         350
7  150    350  6         400
8  100    500  6         400
9  200    300  6         500
10 200    200  6         500
11 200    200  6         500
12 200    450  10        700
13 150    700  10        700
14 250    350  10        700
15 250    250  10        700
16 0      1000 15        1200
17 500    500  15        1200
18 350    400  15        1200
19 500    800  25        2000
20 700    700  25        2000
